 ---------------------------------------------------------------------------------------------------------------------------------- 
|                                          Memory leak report for:  03/10/2007 16:29:06                                            |
 ---------------------------------------------------------------------------------------------------------------------------------- 


702 memory leaks found:

Alloc.   Addr       Size       Addr       Size                        BreakOn BreakOn              
Number Reported   Reported    Actual     Actual     Unused    Method  Dealloc Realloc Allocated by 
------ ---------- ---------- ---------- ---------- ---------- -------- ------- ------- --------------------------------------------------- 
000375 0x019D1F70 0x00000018 0x019D1F60 0x00000038 0x00000000 new         N       N    ??(0) ??
000376 0x019D1FB0 0x00000024 0x019D1FA0 0x00000044 0x00000000 new         N       N    ??(0) ??
000377 0x019D2000 0x0000003C 0x019D1FF0 0x0000005C 0x00000000 new         N       N    ??(0) ??
000378 0x019D6088 0x00000018 0x019D6078 0x00000038 0x00000000 new         N       N    ??(0) ??
000379 0x019D60C8 0x00000024 0x019D60B8 0x00000044 0x00000000 new         N       N    ??(0) ??
000380 0x019D6118 0x0000003C 0x019D6108 0x0000005C 0x00000000 new         N       N    ??(0) ??
000381 0x019D6180 0x00000018 0x019D6170 0x00000038 0x00000000 new         N       N    ??(0) ??
000382 0x019D61C0 0x00000024 0x019D61B0 0x00000044 0x00000000 new         N       N    ??(0) ??
000383 0x019D6210 0x0000003C 0x019D6200 0x0000005C 0x00000000 new         N       N    ??(0) ??
000384 0x019D6278 0x00000018 0x019D6268 0x00000038 0x00000000 new         N       N    ??(0) ??
000385 0x019D62B8 0x00000024 0x019D62A8 0x00000044 0x00000000 new         N       N    ??(0) ??
000386 0x019D6308 0x0000003C 0x019D62F8 0x0000005C 0x00000000 new         N       N    ??(0) ??
000387 0x019D6370 0x00000018 0x019D6360 0x00000038 0x00000000 new         N       N    ??(0) ??
000388 0x019D63B0 0x00000024 0x019D63A0 0x00000044 0x00000000 new         N       N    ??(0) ??
000389 0x019D6400 0x0000003C 0x019D63F0 0x0000005C 0x00000000 new         N       N    ??(0) ??
000390 0x019D6468 0x00000018 0x019D6458 0x00000038 0x00000000 new         N       N    ??(0) ??
000391 0x019D64A8 0x00000024 0x019D6498 0x00000044 0x00000000 new         N       N    ??(0) ??
000392 0x019D64F8 0x0000003C 0x019D64E8 0x0000005C 0x00000000 new         N       N    ??(0) ??
000393 0x019D6560 0x00000018 0x019D6550 0x00000038 0x00000000 new         N       N    ??(0) ??
000394 0x019D65A0 0x00000024 0x019D6590 0x00000044 0x00000000 new         N       N    ??(0) ??
000395 0x019D65F0 0x0000003C 0x019D65E0 0x0000005C 0x00000000 new         N       N    ??(0) ??
000396 0x019D6658 0x00000018 0x019D6648 0x00000038 0x00000000 new         N       N    ??(0) ??
000397 0x019D6698 0x00000024 0x019D6688 0x00000044 0x00000000 new         N       N    ??(0) ??
000398 0x019D66E8 0x0000003C 0x019D66D8 0x0000005C 0x00000000 new         N       N    ??(0) ??
000399 0x019D6750 0x00000018 0x019D6740 0x00000038 0x00000000 new         N       N    ??(0) ??
000400 0x019D6790 0x00000024 0x019D6780 0x00000044 0x00000000 new         N       N    ??(0) ??
000401 0x019D67E0 0x0000003C 0x019D67D0 0x0000005C 0x00000000 new         N       N    ??(0) ??
