 ---------------------------------------------------------------------------------------------------------------------------------- 
|                                          Memory leak report for:  03/24/2007 13:33:50                                            |
 ---------------------------------------------------------------------------------------------------------------------------------- 


1354 memory leaks found:

Alloc.   Addr       Size       Addr       Size                        BreakOn BreakOn              
Number Reported   Reported    Actual     Actual     Unused    Method  Dealloc Realloc Allocated by 
------ ---------- ---------- ---------- ---------- ---------- -------- ------- ------- --------------------------------------------------- 
000374 0x01A01F50 0x0000003C 0x01A01F40 0x0000005C 0x00000000 new         N       N    ??(0) ??
000375 0x01A01FB8 0x00000018 0x01A01FA8 0x00000038 0x00000000 new         N       N    ??(0) ??
000376 0x01A01FF8 0x00000024 0x01A01FE8 0x00000044 0x00000000 new         N       N    ??(0) ??
000377 0x01A06088 0x0000003C 0x01A06078 0x0000005C 0x00000000 new         N       N    ??(0) ??
000378 0x01A060F0 0x00000018 0x01A060E0 0x00000038 0x00000000 new         N       N    ??(0) ??
000379 0x01A06130 0x00000024 0x01A06120 0x00000044 0x00000000 new         N       N    ??(0) ??
000380 0x01A06180 0x0000003C 0x01A06170 0x0000005C 0x00000000 new         N       N    ??(0) ??
000381 0x01A061E8 0x00000018 0x01A061D8 0x00000038 0x00000000 new         N       N    ??(0) ??
000382 0x01A06228 0x00000024 0x01A06218 0x00000044 0x00000000 new         N       N    ??(0) ??
000383 0x01A06278 0x0000003C 0x01A06268 0x0000005C 0x00000000 new         N       N    ??(0) ??
000384 0x01A062E0 0x00000018 0x01A062D0 0x00000038 0x00000000 new         N       N    ??(0) ??
000385 0x01A06320 0x00000024 0x01A06310 0x00000044 0x00000000 new         N       N    ??(0) ??
000386 0x01A06370 0x0000003C 0x01A06360 0x0000005C 0x00000000 new         N       N    ??(0) ??
000387 0x01A063D8 0x00000018 0x01A063C8 0x00000038 0x00000000 new         N       N    ??(0) ??
000388 0x01A06418 0x00000024 0x01A06408 0x00000044 0x00000000 new         N       N    ??(0) ??
000389 0x01A06468 0x0000003C 0x01A06458 0x0000005C 0x00000000 new         N       N    ??(0) ??
000390 0x01A064D0 0x00000018 0x01A064C0 0x00000038 0x00000000 new         N       N    ??(0) ??
000391 0x01A06510 0x00000024 0x01A06500 0x00000044 0x00000000 new         N       N    ??(0) ??
000392 0x01A06560 0x0000003C 0x01A06550 0x0000005C 0x00000000 new         N       N    ??(0) ??
000393 0x01A065C8 0x00000018 0x01A065B8 0x00000038 0x00000000 new         N       N    ??(0) ??
000394 0x01A06608 0x00000024 0x01A065F8 0x00000044 0x00000000 new         N       N    ??(0) ??
000395 0x01A06658 0x0000003C 0x01A06648 0x0000005C 0x00000000 new         N       N    ??(0) ??
000396 0x01A066C0 0x00000018 0x01A066B0 0x00000038 0x00000000 new         N       N    ??(0) ??
000397 0x01A06700 0x00000024 0x01A066F0 0x00000044 0x00000000 new         N       N    ??(0) ??
000398 0x01A06750 0x0000003C 0x01A06740 0x0000005C 0x00000000 new         N       N    ??(0) ??
000399 0x01A067B8 0x00000018 0x01A067A8 0x00000038 0x00000000 new         N       N    ??(0) ??
000400 0x01A067F8 0x00000024 0x01A067E8 0x00000044 0x00000000 new         N       N    ??(0) ??
000401 0x01A06848 0x0000003C 0x01A06838 0x0000005C 0x00000000 new         N       N    ??(0) ??
000402 0x01A068B0 0x00000018 0x01A068A0 0x00000038 0x00000000 new         N       N    ??(0) ??
000403 0x01A068F0 0x00000024 0x01A068E0 0x00000044 0x00000000 new         N       N    ??(0) ??
000404 0x01A06940 0x0000003C 0x01A06930 0x0000005C 0x00000000 new         N       N    ??(0) ??
000405 0x01A069A8 0x00000018 0x01A06998 0x00000038 0x00000000 new         N       N    ??(0) ??
000406 0x01A069E8 0x00000024 0x01A069D8 0x00000044 0x00000000 new         N       N    ??(0) ??
000407 0x01A06A38 0x0000003C 0x01A06A28 0x0000005C 0x00000000 new         N       N    ??(0) ??
000408 0x01A06AA0 0x00000018 0x01A06A90 0x00000038 0x00000000 new         N       N    ??(0) ??
000409 0x01A06AE0 0x00000024 0x01A06AD0 0x00000044 0x00000000 new         N       N    ??(0) ??
000410 0x01A06B30 0x0000003C 0x01A06B20 0x0000005C 0x00000000 new         N       N    ??(0) ??
000411 0x01A06B98 0x00000018 0x01A06B88 0x00000038 0x00000000 new         N       N    ??(0) ??
000412 0x01A06BD8 0x00000024 0x01A06BC8 0x00000044 0x00000000 new         N       N    ??(0) ??
000413 0x01A06C28 0x0000003C 0x01A06C18 0x0000005C 0x00000000 new         N       N    ??(0) ??
000414 0x01A06C90 0x00000018 0x01A06C80 0x00000038 0x00000000 new         N       N    ??(0) ??
000415 0x01A06CD0 0x00000024 0x01A06CC0 0x00000044 0x00000000 new         N       N    ??(0) ??
000416 0x01A06D20 0x0000003C 0x01A06D10 0x0000005C 0x00000000 new         N       N    ??(0) ??
000417 0x01A06D88 0x00000018 0x01A06D78 0x00000038 0x00000000 new         N       N    ??(0) ??
000418 0x01A06DC8 0x00000024 0x01A06DB8 0x00000044 0x00000000 new         N       N    ??(0) ??
000419 0x01A06E18 0x0000003C 0x01A06E08 0x0000005C 0x00000000 new         N       N    ??(0) ??
000420 0x01A06E80 0x00000018 0x01A06E70 0x00000038 0x00000000 new         N       N    ??(0) ??
000421 0x01A06EC0 0x00000024 0x01A06EB0 0x00000044 0x00000000 new         N       N    ??(0) ??
000422 0x01A06F10 0x0000003C 0x01A06F00 0x0000005C 0x00000000 new         N       N    ??(0) ??
000423 0x01A06F78 0x00000018 0x01A06F68 0x00000038 0x00000000 new         N       N    ??(0) ??
000424 0x01A06FB8 0x00000024 0x01A06FA8 0x00000044 0x00000000 new         N       N    ??(0) ??
000425 0x01A07008 0x0000003C 0x01A06FF8 0x0000005C 0x00000000 new         N       N    ??(0) ??
000426 0x01A07070 0x00000018 0x01A07060 0x00000038 0x00000000 new         N       N    ??(0) ??
000429 0x01A07128 0x0000001E 0x01A07118 0x0000003E 0x00000000 new         N       N    ??(0) ??
000430 0x01A07170 0x00000019 0x01A07160 0x00000039 0x00000000 new         N       N    ??(0) ??
000431 0x01A071B8 0x0000019C 0x01A071A8 0x000001BC 0x00000000 new         N       N    ??(0) ??
000480 0x01A07380 0x0000000D 0x01A07370 0x0000002D 0x00000000 new         N       N    ??(0) ??
